repo,季均代码参与者数量,季均代码贡献者数量,日均代码提交数量,季均代码提交关联PR的比率,季均PR关联issue的比率,日均PR创建数量,季均代码审查比率,季均代码合并比率,日均提交代码行数,proj_id,季均bug类issue处理时间平均数,季均bug类issue处理时间中位数,日均关闭PR数量,季均issue评论频率,季均issue首次响应时间平均数,季均issue首次响应时间中位数,季均PR处理时间平均数,季均PR处理时间中位数,日均更新issue数量,季均代码审查评论频率,季均最近版本发布次数,季均组织数量,季均组织贡献者数量,日均组织代码提交次数,季均组织持续贡献时间,季均观察贡献者数量,日均观察者贡献次数,季均issue贡献者数量,日均issue贡献次数,日均代码贡献次数,季均个人贡献者数量,日均个人贡献次数,季均访客贡献者数量,日均访客贡献次数,季均常客贡献者数量,日均常客贡献次数,季均核心贡献者数量,日均核心贡献次数
https://github.com/jpoirier/rust-rtlsdr,0,0,0,0,0,0,0,0,0,gitee:jpoirier/rust-rtlsdr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/anowell/chesscom-rs,0,0,0,0,0,0,0,0,0,gitee:anowell/chesscom-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/AGutan/spacex-api-wrapper,0,0,0,0,0,0,0,0,0,gitee:AGutan/spacex-api-wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/a-mackay/raystack,0,0,0,0,0,0,0,0,0,gitee:a-mackay/raystack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/arcnmx/serde-ini,0.230769231,0,0,0,0,0.002564103,0,0,0,gitee:arcnmx/serde-ini,0,0,0,0,0,0,90,90,0.006837607,0,0,0,0,0,0,3,0.033333333,0.538461538,0.005982906,0.002564103,2.692307692,0.032478632,2.538461538,0.028205128,0,0,1,0.008547009
https://github.com/arcnmx/thread-scoped-rs,0,0,0,0,0,0,0,0,0,gitee:arcnmx/thread-scoped-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/alaric/lock_order,0,0,0,0,0,0,0,0,0,gitee:alaric/lock_order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/ensc/unix-fd,0,0,0,0,0,0,0,0,0,gitee:ensc/unix-fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/ModProg/attribute-derive,0.461538462,0.461538462,0.025655279,0.087912088,0,0.006837607,0,0,0.268525249,gitee:ModProg/attribute-derive,0,0,0.003418803,0,0,0,90,90,0.003418803,0,1,0,0,0,0,0,0,0.307692308,0.003418803,0.035897436,0.461538462,0.039316239,0,0,0,0,0.461538462,0.039316239
https://github.com/7ap/demsos,0,0,0,0,0,0,0,0,0,gitee:7ap/demsos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
